Tunnel;Montant HT - analyse de Fanny (kE);Montant HT - analyse au niveau des prix (kE)
Ambroise Paré;226,1;271,7
Antony   ;164,2;227,1
Belle-Rive;276,3;345,7
Bicêtre  ;212,9;280,4
Bobigny  ;274,3;302,2
Boissy   ;156,8;191,5
Champigny;253,8;299,7
Chennevières;122,7;150,2
Fontenay ;155,5;186,0
Fresnes  ;166,2;192,7
Guy Môquet;178,4;213,5
Italie   ;78,0;102,3
La Courneuve;100,5;79,4
La Défense;1125;1262
Landy    ;305,8;371,1
Lumen-Norton;202,5;226,6
Moulin   ;180,4;216,3
Nanterre Centre;307,8;308,0
Nanterre échangeur;477,5;517,8
Neuilly  ;124,2;121,5
Nogent   ;441,8;500,6
Orly     ;105,7;116,0
Saint-Cloud;230,6;279,6
Sévines  ;117,8;145,9
Taverny  ;135,0;164,0