mar_dim;prdp_gr_xlsx;prdp_groupe;prdp_groupe_designation;
BAT;;BATMAI;Maintenance préventive annuelle des IS;
BAT;;BATMAN;Maintenance préventive annuelle des niches;
BAT;;BATPLV;Plus-value;
BAT;Maintenance préventive des issues de secours et niches de sécurité;BATMPE;Maintenance préventive EST;
BAT;Maintenance préventive des issues de secours et niches de sécurité;BATMPN;Maintenance préventive NORD;
BAT;Maintenance préventive des issues de secours et niches de sécurité;BATMPO;Maintenance préventive OUEST;
BAT;Maintenance préventive des issues de secours et niches de sécurité;BATMPS;Maintenance préventive SUD;
BAT;Visite des issues de secours (de jour);BATCJE;Contrôle de jour des IS EST;
BAT;Visite des issues de secours (de jour);BATCJN;Contrôle de jour des IS NORD;
BAT;Visite des issues de secours (de jour);BATCJS;Contrôle de jour des IS SUD;
BAT;Visite des issues de secours et niches de sécurité (de nuit);BATCNE;Contrôle de nuit des IS EST;
BAT;Visite des issues de secours et niches de sécurité (de nuit);BATCNN;Contrôle de nuit des IS NORD;
BAT;Visite des issues de secours et niches de sécurité (de nuit);BATCNO;Contrôle de nuit des IS OUEST;
BAT;Visite des issues de secours et niches de sécurité (de nuit);BATCNS;Contrôle de nuit des IS EST;
BAT/PRP;;BATIIS;Inspection des toutes IS;
PRP;Lavage d'un tube;PRPLTB;Lavage d’un tube;
PRP;;PRPPLV;Plus-value;
CRG;Vérification réglementaire d’un dispositif de levage inférieur ou égal à 3 tonnes;CRGDLA;Vérification réglementaire d’un dispositif de levage inférieur ou égal à 3 tonnes;
CRG;Vérification réglementaire d’un dispositif de levage compris entre 3 et 6 tonnes;CRGDLB;Vérification réglementaire d’un dispositif de levage compris entre 3 et 6 tonnes;
CRG;Vérification réglementaire d’un dispositif de levage supérieur à 6 tonnes;CRGDLC;Vérification réglementaire d’un dispositif de levage supérieur à 6 tonnes;
CRG;Vérification périodique d’un équipement en bord de chaussée (armoire, alimentation d’un équipement trafic ou tunnel, ...);CRGVPA;Vérification périodique d’un équipement en bord de chaussée (armoire, alimentation d’un équipement trafic ou tunnel, ...);
CRG;Vérification périodique des équipements électriques et métalliques d’un tunnel (contrôles d’équipotentialité);CRGVPB;Vérification périodique des équipements électriques et métalliques d’un tunnel (contrôles d’équipotentialité);
CRG;;CRGPLV;Plus-value;
CRG;Vérification des installations électriques des Postes;CRGVIE;Vérification des installations électriques EST;
CRG;Vérification des installations électriques des Postes;CRGVIN;Vérification des installations électriques NORD;
CRG;Vérification des installations électriques des Postes;CRGVIO;Vérification des installations électriques NORD;
CRG;Vérification des installations électriques des Postes;CRGVIS;Vérification des installations électriques SUD;
CRG;Vérification des installations électriques des Postes;CRGVIU;Vérification des installations électriques UIRC;
ECL;Nettoyage des plots de jalonnement pour un sens;ECLNPB;Nettoyage des plots de jalonnement BOULOGNE;
ECL;Nettoyage de l'éclairage pour un sens;ECLNEB;Nettoyage de l’éclairage BOULOGNE;
ECL;Remplacement systématiques des sources;ECLRSB;Remplacement systématique des sources BOULOGNE;
ECL;Nettoyage des plots de jalonnement pour un sens;ECLNPE;Nettoyage des plots de jalonnement EST;
ECL;Remplacement systématiques des sources;ECLRSE;Remplacement systématique des sources EST;
ECL;Nettoyage des plots de jalonnement pour un sens;ECLNPN;Nettoyage des plots de jalonnement NORD;
ECL;Nettoyage de l'éclairage pour un sens;ECLNEN;Nettoyage de l’éclairage NORD;
ECL;Remplacement systématiques des sources;ECLRSN;Remplacement systématique des sources NORD;
ECL;Nettoyage des plots de jalonnement pour un sens;ECLNPO;Nettoyage des plots de jalonnement OUEST;
ECL;Nettoyage de l'éclairage pour un sens;ECLNEO;Nettoyage de l’éclairage OUEST;
ECL;Remplacement systématiques des sources;ECLRSO;Remplacement systématique des sources OUEST;
ECL;Nettoyage des plots de jalonnement pour un sens;ECLNPS;Nettoyage des plots de jalonnement SUD;
ECL;Nettoyage de l'éclairage pour un sens;ECLNES;Nettoyage de l’éclairage SUD;
ECL;Remplacement systématiques des sources;ECLRSS;Remplacement systématique des sources SUD;
ECL;;ECLMNE;Mesure du niveau d’éclairement;
AEV;Essais fonctionnels pour un sens;AEVEFB;Essais fonctionnels BOULOGNE;
AEV;Essais fonctionnels pour un sens;AEVEFE;Essais fonctionnels EST;
AEV;Essais fonctionnels pour un sens;AEFEFN;Essais fonctionnels NORD;
AEV;Essais fonctionnels pour un sens;AEVEFO;Essais fonctionnels OUEST;
AEV;Essais fonctionnels pour un sens;AEVEFS;Essais fonctionnels SUD;
AEV;Maintenance préventive pour un sens;AEVMPB;Maintenance préventive BOULOGNE;
AEV;Maintenance préventive pour un sens;AEVMPE;Maintenance préventive EST;
AEV;Maintenance préventive pour un sens;AEVMPN;Maintenance préventive NORD;
AEV;Maintenance préventive pour un sens;AEVMPO;Maintenance préventive OUEST;
AEV;Maintenance préventive pour un sens;AEVMPS;Maintenance préventive SUD;
AEV;Maintenance préventive prises/coffret pompier;AEVPLV;Plus-value;
AUT;Entretien préventif automates principaux et baies MESD;AUTPAB;Préventif automates principaux et baies MESD ;
AUT;Entretien préventif de l'ensemble armoires MESD;AUTPAR;Préventif armoires MESD;
AUT;;AUTPLV;Plus-value;
AUT;Préventif d'un automate métier (fiche n°5 du CCTP);AUTPAM;Préventif automates métier;
AUT;préventif d'une baie MESD métier (fiche n°4 du CCTP);AUTDPB;Dépollution d’une baie;
AUT;;AUTEPA;Entretien préventif d’un automate principal;
AUT;;AUTEPS;Entretien préventif d’un automate Poste de Livraison SIRIUS;
AUT;;AUTEPB;Entretien préventif d’une baie BESD ;
RTS;;RTSPLV;Plus-value;
RTS;Maintenance préventive de l'ensemble des PAU du tunnel;RTSPPE;Maintenance préventive de l’ensemble des PAU du tunnel EST;
RTS;Maintenance préventive de l'ensemble des PAU du tunnel;RTSPPG;Maintenance préventive de l’ensemble des PAU analogiques/IP;
RTS;Maintenance préventive de l'ensemble des PAU du tunnel;RTSPPN;Maintenance préventive de l’ensemble des PAU du tunnel NORD;
RTS;Maintenance préventive de l'ensemble des PAU du tunnel;RTSPPO;Maintenance préventive de l’ensemble des PAU du tunnel OUEST;
RTS;Maintenance préventive de l'ensemble des PAU du tunnel;RTSPPS;Maintenance préventive de l’ensemble des PAU du tunnel SUD;
RTS;;RTSPSG;Maintenance préventive de jour du système SI Phone;
RTS;Maintenance préventive de l'ensemble des TSE du tunnel;RTSPTE;Maintenance préventive de l’ensemble des TSE du tunnel EST;
RTS;Maintenance préventive de l'ensemble des TSE du tunnel;RTSPTN;Maintenance préventive de l’ensemble des TSE du tunnel NORD;
RTS;Maintenance préventive de l'ensemble des TSE du tunnel;RTSPTO;Maintenance préventive de l’ensemble des TSE du tunnel OUEST;
RTS;Maintenance préventive de l'ensemble des TSE du tunnel;RTSPTS;Maintenance préventive de l’ensemble des TSE du tunnel SUD;
RTS;Maintenance préventive de l'ensemble des PAU du tunnel;RTSPJP;Maintenance préventive de jour d’un PAU;
RTS;Maintenance préventive de l'ensemble des TSE du tunnel;RTSPJT;Maintenance préventive de jour d’un TSE;
DET;Préventif d'un tube des capteurs atmosphériques;DETPCA;Préventif d'un tube des capteurs atmosphériques;
DET;;DETPLV;Plus-value;
DET;Préventif détection incendie (Centrale incendie);DETPDI;Préventif détection incendie;
DET;Contrôle réglementaire d'un extincteur à poudre polyvalente de 6kg;DETPXA;Contrôle réglementaire d'un extincteur à poudre polyvalente de 6kg;
DET;Contrôle réglementaire d'un extincteur à poudre polyvalente de 9kg;DETPXB;Contrôle réglementaire d'un extincteur à poudre polyvalente de 9kg;
DET;Contrôle réglementaire d'un extincteur à poudre polyvalente de 50kg;DETPXC;Contrôle réglementaire d'un extincteur à poudre polyvalente de 50kg;
DET;Contrôle réglementaire d'un extincteur à eau pulvérisée 6 litres;DETPXD;Contrôle réglementaire d'un extincteur à eau pulvérisée 6 litres;
DET;Contrôle réglementaire d'un extincteur à eau pulvérisée 9 litres;DETPXE;Contrôle réglementaire d'un extincteur à eau pulvérisée 9 litres;
DET;Contrôle réglementaire d'un extincteur CO² de 2kg;DETPXF;Contrôle réglementaire d'un extincteur CO² de 2kg;
DET;Contrôle réglementaire d'un extincteur CO² de 5kg;DETPXH;Contrôle réglementaire d'un extincteur CO² de 5kg;
OND;Maintenance preventive d'un onduleur inferieur ou egale a 60 KVA;ONDPOA;Maintenance preventive d'un onduleur inferieur ou egale a 60 KVA;
OND;Maintenance preventive d'un onduleur superieur a 60 KVA et inferieur ou egale a 160 kVA;ONDPOB;Maintenance preventive d'un onduleur superieur a 60 KVA et inferieur ou egale a 160 kVA;
OND;Maintenance preventive d'un onduleur superieur a 160 kVA;ONDPOC;Maintenance preventive d'un onduleur superieur a 160 kVA;
OND;Maintenance preventive d'un atelier d’energie / chargeur batteries;ONDMPA;Maintenance préventive d'un atelier d'énergie;
OND;;ONDPLV;Plus-value;
VEN;Préventif des équipements de ventilation;VENPEB;Préventif des équipements de ventilation BOULOGNE;
VEN;Préventif des équipements de ventilation;VENPEE;Préventif des équipements de ventilation EST;
VEN;Préventif des équipements de ventilation;VENPEN;Préventif des équipements de ventilation NORD;
VEN;Préventif des équipements de ventilation;VENPEO;Préventif des équipements de ventilation OEST;
VEN;Préventif des équipements de ventilation;VENPES;Préventif des équipements de ventilation SUD;
VEN;Ventilateur de local technique ou surpresseur d'Issue de Secours;VENPQA;Ventilateur de local technique ou surpresseur d'Issue de Secours;
VEN;Registre en gaine de ventilation;VENPQB;Registre en gaine de ventilation;
VEN;Gaine de ventilation en tunnel pour une longueur de gaine de 150 metres;VENPQC;Gaine de ventilation en tunnel pour une longueur de gaine de 150 metres;
VEN;;VENPQD;Analyse spectrale d’un ventilateur;
VEN;Variateur de puissance inferieur ou egal a 15 Kw;VENPQE;Variateur de puissance inferieur ou egal a 15 Kw;
VEN;Variateur de puissance superieur a 15 Kw;VENPQF;Variateur de puissance superieur a 15 Kw;
VEN;;VENSEX;Solicitation d’un expert sur les matériels de ventilation pour 1 journée;
VID;Maintenance préventive de la DAI du sens 1;VIDDAI;Maintenance préventive de la DAI;
VID;Maintenance préventive de la DAI du sens 2;;;
VID;Nettoyage des caméras sens intérieur sens 1;VIDCAM;Nettoyage des caméras sens intérieur ;
VID;Nettoyage des caméras sens intérieur sens 2;;;
VID;Maintenance préventive des caméras en issues de secours du tunnel;VIDPCI;Maintenance préventive des caméras en IS;
VID;;VIDPSR;Maintenance préventive d’une caméra Sirius;
VID;;VIDPLV;Plus-value;
VID;;VIDPIP;Maintenance préventive d’une caméra IP;
POM;Entretien et contrôle de débit des poteaux incendie du tunnel;POMIND;Entretien et contrôle de débit des poteaux incendie du tunnel;
POM;Entretien d'une pompe;POMERA;Entretien d'une pompe;
POM;Entretien des stations de pompage;POMERB;Entretien des stations de pompage;
POM;Entretien d'un surpresseur;POMERC;Entretien d'un surpresseur;
POM;Entretien d'un disconnecteur;POMERD;Entretien d'un disconnecteur;
POM;Entretien d’une colonne sèche;POMERE;Entretien d’une colonne sèche;
POM;Entretien d’une colonne humide;POMERF;Entretien d’une colonne humide;
POM;Entretien des stations de pompage (curage bâche);POMESP;Entretien des stations de pompage;
POM;Entretien d'une pompe;POMEPO;Entretien d'une pompe;
POM;Visite des stations de pompage;POMVSP;Visite des stations de pompage;
POM;;POMCRG;Contrôle réglementaire/étalonnage du détecteur muligaz portatif;
POM;;POMANL;Analyse et contrôle de la qualité des eaux des ouvrages ;
POM;;POMMDS;Mise à disposition d’un preleveur portable;
POM;;POMCCE;Contrôle d’une centrale de détection gaz par un organisme agréé;
POM;;POMPLV;Plus-value;
POM;;POMDCH;Déchets;
POM;;POMDPP;Depose ou pose de tout type de pompe de relevage provisoire de puissance inferieur a 10KW compris;
POM;;POMTRP;Transport d'une pompe dans le but de faire une expertise (aller ou retour);
POM;;POMOPT;Optimisation de nos systèmes et équipements;
POM;;POMGEL;Mise à disposition d'un groupe électrogène de 11 à 30 KVA;
POM;;POMEXP;Expertise d’une pompe;
POM;;POMREP;Recherche et réparation simple de défaut;